>,-0.23498403,
<,1.5598848,
.,6.5525,
MAX REWD: 6.5525 REWD_ID: 1,
>,-0.33877036,
<,1.5756125,
.,6.79,
MAX REWD: 6.79 REWD_ID: 2,
>,-0.066916466,
<,1.7944986,
.,7.175,
MAX REWD: 7.175 REWD_ID: 3,
>,0.017687973,
<,1.528342,
.,6.7175,
>,-0.21326979,
<,2.0813837,
.,6.7075,
>,0.12661575,
<,2.1216145,
.,8.05,
MAX REWD: 8.05 REWD_ID: 6,
>,-0.082264245,
<,1.5538613,
.,7.8225,
>,0.12833264,
<,1.3927495,
.,8.3425,
MAX REWD: 8.3425 REWD_ID: 8,
>,0.2260725,
<,1.5564314,
.,8.8575,
MAX REWD: 8.8575 REWD_ID: 9,
>,0.014322193,
<,1.6661955,
.,8.6175,
>,-0.07889121,
<,1.4186357,
.,9.4025,
MAX REWD: 9.4025 REWD_ID: 11,
>,0.0044698073,
<,1.6303182,
.,9.2175,
>,0.1146471,
<,2.4566474,
.,9.675,
MAX REWD: 9.675 REWD_ID: 13,
>,0.18089916,
<,2.0631518,
.,10.3175,
MAX REWD: 10.3175 REWD_ID: 14,
>,-0.025809053,
<,1.4237188,
.,10.01,
>,0.0881127,
<,1.8577743,
.,9.6225,
>,0.045894854,
<,2.6118755,
.,10.1125,
>,0.3942707,
<,2.4774113,
.,10.2325,
>,0.29585847,
<,2.8523023,
.,9.875,
>,-0.07102633,
<,1.8671901,
.,10.9725,
MAX REWD: 10.9725 REWD_ID: 20,
>,0.03323647,
<,3.045273,
.,10.42,
>,0.077388234,
<,2.286662,
.,10.4225,
>,-0.07881256,
<,1.8060687,
.,10.5575,
>,0.0847013,
<,2.3519518,
.,10.8175,
>,0.08310795,
<,1.6752298,
.,10.1225,
>,0.10786105,
<,1.8510438,
.,10.7125,
>,0.19703516,
<,2.7912576,
.,10.385,
>,0.27551103,
<,1.9267844,
.,10.715,
>,0.06910082,
<,3.2222261,
.,10.7375,
>,0.22473562,
<,3.052065,
.,11.3875,
MAX REWD: 11.3875 REWD_ID: 30,
>,0.20543407,
<,2.8843045,
.,11.32,
>,-0.054574713,
<,1.5334917,
.,10.6075,
>,-0.08012635,
<,2.1631086,
.,10.7475,
>,0.0033792148,
<,1.2541063,
.,10.6625,
>,0.089866154,
<,3.0608845,
.,9.85,
>,-0.26762262,
<,4.379672,
.,11.1575,
>,0.023545088,
<,2.6770084,
.,11.215,
>,0.30516797,
<,3.0153742,
.,10.56,
>,-0.1235427,
<,2.0687163,
.,10.4025,
>,-0.10100934,
<,2.8991868,
.,10.52,
>,-0.22771733,
<,1.6557152,
.,11.7,
MAX REWD: 11.7 REWD_ID: 41,
>,0.019991646,
<,1.289086,
.,10.91,
>,-0.22565721,
<,2.184,
.,11.0075,
>,0.25546432,
<,2.5956247,
.,10.0275,
>,0.23258163,
<,3.2156413,
.,11.93,
MAX REWD: 11.93 REWD_ID: 45,
>,-0.011143967,
<,2.6708298,
.,11.4475,
>,0.32301465,
<,2.692009,
.,11.2825,
>,-0.16555563,
<,1.4697101,
.,10.8475,
>,-0.1455539,
<,1.3314521,
.,11.4525,
>,-0.08763848,
<,2.7437487,
.,11.3775,
>,-0.08032872,
<,5.0035143,
.,11.02,
>,-0.15902404,
<,2.7855952,
.,10.915,
>,0.037707947,
<,2.5862734,
.,10.79,
>,-0.17153978,
<,2.6764364,
.,11.1075,
>,-0.24892074,
<,2.2002404,
.,10.9225,
>,0.040093347,
<,1.2701595,
.,11.1475,
>,-0.33730927,
<,2.7867541,
.,10.975,
>,0.00023659365,
<,2.3977733,
.,11.2875,
>,-0.00852978,
<,1.4051747,
.,11.24,
>,-0.02335516,
<,2.3398304,
.,10.6825,
>,0.25254172,
<,2.7178645,
.,11.49,
>,-0.056492772,
<,2.1356506,
.,11.0825,
>,0.104932055,
<,1.9529166,
.,11.065,
>,0.035422754,
<,2.4657223,
.,10.795,
>,0.108762056,
<,4.1606464,
.,11.2,
>,0.0639046,
<,1.2971814,
.,11.59,
>,0.05386585,
<,1.8222227,
.,11.685,
>,-0.07524319,
<,3.6138318,
.,10.64,
>,-0.07183041,
<,2.7876277,
.,10.73,
>,-0.037665356,
<,1.417696,
.,11.13,
>,-0.20658007,
<,2.2763376,
.,11.14,
>,-0.14414462,
